Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
03/02/2025,546,,,"🆕NWT Lady Pipa Francesca dress, Sz XL, red/pink",Women,Dresses,Midi,Lady Pipa,"Red, Pink",XL,Y,1,10,"",$158.00,$158.00,,$1.50
03/03/2025,545,,,"Leather handbag, brown",Women,Bags,Shoulder Bags,,Brown,OS,N,1,0,"",$44.00,$44.00,,$6.49
03/05/2025,543,,,"🆕 NWT Abercrombie & Fitch midi cocktail dress, size Large (tall), (dark) teal",Women,Dresses,Midi,Abercrombie & Fitch,"Green, Blue",L,Y,1,17,"",$78.00,$78.00,,$1.50
03/06/2025,542,,,"🆕nwob Frye Deborah Short, sz 6, Dark Brown",Women,Shoes,Ankle Boots & Booties,Frye,Brown,6,N,1,0,"",$192.00,$192.00,,$1.50
03/07/2025,541,,,"🆕 NWOB Coach Gates boots, black, Sz 6",Women,Shoes,Combat & Moto Boots,Coach,Black,6,N,1,2,"",$115.00,$115.00,,$1.50
03/10/2025,538,,,"Frye Shoulder bag, bone (beige/sand)",Women,Bags,Shoulder Bags,Frye,"Cream, Tan",OS,N,1,6,"",$128.00,$158.00,,$1.50
03/16/2025,532,,,"Calvin Klein Jeans Zavia Sandals, Sz 6, light moss/cream",Women,Shoes,Sandals,Calvin Klein Jeans,"Green, Cream",6,N,1,0,"",$92.00,$92.00,,""
03/17/2025,531,,,"Tod’s Black Ankle Boots, Sz 37.5",Women,Shoes,Ankle Boots & Booties,Tod's,Black,37.5EU,N,1,4,"",$270.00,$270.00,,""
03/18/2025,530,,,"🆕wob Coach Brenna high top sneakers, white, Sz 6",Women,Shoes,Sneakers,Coach,"White, Brown",6,N,1,1,"",$98.00,$98.00,,""
03/30/2025,518,,,"Frye Tyler Double Zip combat boots, Sz 6, Brown",Women,Shoes,Combat & Moto Boots,Frye,Brown,6,N,1,6,"",$135.00,$135.00,,""
04/11/2025,506,,,"🆕NWOB Jimmy Choo Oxford loafers, gold metallic, Sz 37",Women,Shoes,Flats & Loafers,Jimmy Choo,Gold,37EU,N,1,1,"",$393.00,$393.00,,$1.50
05/03/2025,484,,,Brown Leather Ankle Boots,Women,Shoes,Ankle Boots & Booties,Frye,Brown,6,N,1,0,"",$115.00,$115.00,,""
05/10/2025,477,,,"Calvin Klein Women's White wedge Sandals, Sz 6",Women,Shoes,Sandals,Calvin Klein,White,6,N,1,1,"",$69.00,$69.00,,$1.50
06/14/2025,442,,,"Frye Karissa Shield sling, Taupe Sz 7.5",Women,Shoes,Heels,Frye,Brown,7.5M,N,1,0,"",$130.00,$130.00,,$1.50
06/14/2025,442,,,🆕WOT BRIGHTON Monkeying Around necklace / silver,Women,Jewelry,Necklaces,Brighton,Silver,OS,N,1,1,"",$32.00,$32.00,,""
08/21/2025,374,,,🆕 NIB Silver Hospitslity by Godinger Silver Plated Pineapple Candle Snuffer,Home,Accents,Candles & Holders,Godinger,Silver,OS,Y,1,1,"",$33.00,$33.00,,""
08/23/2025,372,,,Frye Deborah Studded Crossbody Bag - whiskey (brown),Women,Bags,Crossbody Bags,Frye,Brown,OS,N,1,18,"",$175.00,$175.00,,$1.50
08/28/2025,367,,,"🆕 NWT Farm Rio Mosaic Garden dress, Sz M (color multi)",Women,Dresses,Midi,FARM Rio,"Cream, Red",M,Y,1,16,"",$230.00,$230.00,,$1.50
09/03/2025,361,,,"Nike Air Max 90 SE (Worldwide Pack) Sz 7, white/blue/fury/volt",Women,Shoes,Sneakers,Nike,"White, Green",7,N,1,11,"",$190.00,$190.00,,""
09/13/2025,351,,,Frye baby Leather Booties - Dark Purple,Kids,Shoes,Boots,Frye,Purple,3BB,N,1,0,"",$89.00,$89.00,,""
09/20/2025,344,,,NEW Brazil Cap - Green and Yellow,Women,Accessories,Hats,,"Green, Yellow",OS,N,1,1,"",$24.00,$24.00,,""
09/21/2025,343,,,Macy's Gold and Cream Floral Necklace,Women,Jewelry,Necklaces,Macy's,"Cream, Gold",OS,N,1,0,"",$30.00,$30.00,,$1.50
09/24/2025,340,,,"🆕 NWT Emoji Baseball Cap with Black Accents, yellow/blk",Women,Accessories,Hats,emojinuity,"Yellow, Black",OS,Y,1,1,"",$23.00,$23.00,,$1.50
10/14/2025,320,,,🆕YSL Libre perfume eau de parfum 1.6oz,Women,Other,"",Yves Saint Laurent,"Black, Gold",OS,Y,1,2,"",$121.00,$121.00,,$6.49
03/22/2026,161,,,"NWOB Frye Dark Brown Tall Leather Riding Boots, Sz 6",Women,Shoes,Winter & Rain Boots,Frye,Brown,6,N,1,1,"",$167.00,$167.00,,$1.50
03/27/2026,156,,,"NWOB Frye Harness 12RBoots with Gray Wool Shaft, Sz 9, Brown",Men,Shoes,Boots,Frye,"Brown, Gray",9,N,1,9,"",$278.00,$278.00,,$6.49
04/05/2026,147,,,"Frye Leather Studded crossbody/clutch, brown",Women,Bags,"",Frye,Brown,OS,N,1,17,"",$238.00,$238.00,,""
04/12/2026,140,,,Frye Brown Leather Foldover Clutch,Women,Bags,Clutches & Wristlets,Frye,Brown,OS,N,1,4,"",$169.00,$169.00,,""
04/17/2026,135,,,"Zara Metallic Gold Block-Heel Sandals with Ankle Strap, Sz 38",Women,Shoes,Heels,Zara,Gold,38EU,Y,1,2,"",$48.00,$48.00,,""
04/20/2026,132,,,"PIKOLINOS Leather Belt Bag with Removable Strap, whiskey brown",Women,Bags,Crossbody Bags,PIKOLINOS,Tan,OS,N,1,4,"",$150.00,$150.00,,""
04/20/2026,132,,,"LIKE NEW Pikolinos Jerez perf moc, marfil (white), sz 37",Women,Shoes,Flats & Loafers,PIKOLINOS,"Cream, White",37EU,N,1,1,"",$105.00,$105.00,,$1.50
04/20/2026,132,,,"Frye Lena Mule, Black, sz 7.5",Women,Shoes,Mules & Clogs,Frye,"Black, Silver",7.5,N,1,3,"",$98.00,$98.00,,""
04/20/2026,132,,,"Taryn Rose Blythe Floral Mule, Blk, sz 7.5",Women,Shoes,Mules & Clogs,Taryn Rose,Black,7.5,N,1,2,"",$95.00,$100.00,,""
04/20/2026,132,,,"Like New Calvin Klein Leopard Print fashion sneaker, sz 6",Women,Shoes,Sneakers,Calvin Klein,"Brown, Black",6,N,1,0,"",$68.00,$68.00,,$1.50
04/20/2026,132,,,Frye Western Tassle crossbody - black (rare),Women,Bags,Crossbody Bags,Frye,Black,OS,N,1,2,"",$248.00,$248.00,,$1.50
04/20/2026,132,,,"NWOT/Box Frye Tall Boots, Redwood, sz 6",Women,Shoes,"",Frye,"Red, Brown",6,N,1,4,"",$195.00,$195.00,,$1.50
05/02/2026,120,,,"🆕 nwt Abercrombie & Fitch Utility Jacket, green, Sz Med",Women,Jackets & Coats,Utility Jackets,Abercrombie & Fitch,Green,M,Y,1,6,"",$82.00,$82.00,,""
05/02/2026,120,,,"Decathlon Quechua Hiking boots, grey/turquoise, sz 39",Women,Shoes,Lace Up Boots,Quechua,Gray,39EU,N,1,1,"",$35.00,$35.00,,$1.50
05/03/2026,119,,,"Frye Gabby Ghillie, Cashew, Sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,"Brown, Tan",7.5,N,1,2,"",$135.00,$135.00,,""
05/03/2026,119,,,"🆕Frye Brielle Overlay, Black, sz 7",Women,Shoes,Sandals,Frye,"Tan, Black",7,Y,1,1,"",$180.00,$180.00,,""
05/03/2026,119,,,"🆕wob Ben Sherman Gray Casual Men's Sneakers, Sz 9",Men,Shoes,Sneakers,Ben Sherman,"Gray, White",9,N,1,0,"",$115.00,$115.00,,""
05/06/2026,116,,,"🆕wob Rachel Zoe faux fur low platform shoes, black, sz 6",Women,Shoes,"",Rachel Zoe,Black,6,N,1,0,"",$62.00,$62.00,,""
05/06/2026,116,,,"🆕NWT Coach Leopard haircalf Flats, Sz 6, brown/black",Women,Shoes,Flats & Loafers,Coach,"Brown, Black",6,Y,1,1,"",$150.00,$155.00,,""
05/06/2026,116,,,Coach Continental Zip wallet - Black,Women,Bags,Wallets,Coach,"Black, Pink",OS,N,1,0,"",$92.00,$92.00,,""
05/08/2026,114,,,"🆕wob Frye Mindy Slip On, anthracite (blueish gray), sz 6",Women,Shoes,Flats & Loafers,Frye,"Blue, Gray",6,N,1,0,"",$100.00,$100.00,,""
05/09/2026,113,,,"🆕 NWT Lady Pipa Madeira Dress, floral, Sz XL",Women,Dresses,Midi,Lady Pipa,"Pink, Purple",XL,Y,1,1,"",$130.00,$130.00,,""
05/18/2026,104,,,"Church's Suede Chelsea Boots in Olive Brown, Sz 38.5",Women,Shoes,Ankle Boots & Booties,Church's,"Brown, Tan",38.5EU,N,1,5,"",$495.00,$495.00,,""
06/02/2026,89,,,Frye Casey Wallet - charcoal,Women,Bags,Wallets,Frye,"Brown, Gray",OS,N,1,0,"",$115.00,$115.00,,""
07/14/2026,47,,,🆕 NWT lululemon everywhere belt bag - Red Merlot (eu),Women,Bags,Travel Bags,lululemon athletica,"Red, Purple",OS,Y,1,2,"",$35.00,$35.00,,""
07/15/2026,46,,,"🆕 Styptic Powder for Dogs, Cats, and Birds (2 oz) by Evo Dyne (Set of 2)",Pets,Dog,Clothing & Accessories,,"White, Red",OS,Y,1,0,"",$28.00,$28.00,,""
07/16/2026,45,,,"Like new Compañía Fantástica Blue Short-Sleeve Sweater, Sz Small",Women,Tops,Tees - Short Sleeve,Compania Fantastica,"Blue, Cream",S,N,1,7,"",$65.00,$65.00,,""
07/18/2026,43,,,Frye  Mini Backpack with Leather Trim and Gold Hardware - olive,Women,Bags,Backpacks,Frye,Green,OS,N,1,0,"",$138.00,$138.00,,""
07/28/2026,33,,,"🆕 nwt & Other Stories Atelier Asymmetric One-Shoulder Black Knit Top, Medium",Women,Tops,"",& Other Stories,Black,M,Y,1,0,"",$65.00,$65.00,,""
07/28/2026,33,,,🆕NIB Final Touch Watermelon Keg Deluxe Tapping Kit - silver/blk,Home,Kitchen,"",Final Touch,"Black, Silver",OS,Y,1,0,"",$19.00,$19.00,,""
07/28/2026,33,,,🆕NIB Via Spiga Silver Stainless Steel Rectangular Watch with Blue Hands,Women,Accessories,Watches,Via Spiga,"Silver, White",OS,Y,1,1,"",$62.00,$68.00,,""
07/30/2026,31,,,"Pikolinos Daroca (suede shootie), sz 37, Stone",Women,Shoes,Ankle Boots & Booties,PIKOLINOS,"Gray, Brown",7,N,1,1,"",$115.00,$115.00,,""
07/30/2026,31,,,"Joes Jeans Elsie bomber jacket, blue, Sz Medium",Women,Jackets & Coats,Bomber Jackets,Joe's Jeans,"Blue, Pink",M,N,1,1,"",$90.00,$90.00,,""
07/30/2026,31,,,"🆕 NWT English Factory Ruffled Lace Insert Blouse, Black, Sz Med",Women,Tops,Blouses,English Factory,Black,M,Y,1,1,"",$42.00,$42.00,,""
07/30/2026,31,,,"🆕NWT H&M Black Faux Leather Mini Skirt with Side Slit, Sz L",Women,Skirts,Mini,H&M,Black,L,Y,1,0,"",$26.00,$26.00,,""
08/01/2026,29,,,🆕 NIB Pikolinos Mundaka Sneaker - grey/maroon Sz 37,Women,Shoes,Athletic Shoes,PIKOLINOS,"Gray, Purple",7,Y,1,1,"",$125.00,$125.00,,""
08/03/2026,27,,,"Golden Goose GGDB White & Light Gray Mid Top Sneakers, Sz 38",Women,Shoes,Sneakers,Golden Goose,"White, Gray",38EU,N,1,5,"",$335.00,$335.00,,$1.50
08/08/2026,22,,,"Moussy buckle strap Button-Front Midi Dress, yellow, Free size",Women,Dresses,Midi,Moussy,"Cream, Yellow",F,N,1,0,"",$115.00,$115.00,,""
08/12/2026,18,,,🆕 Le Specs Le Sustain Outta Trash - Mustard (yellow),Women,Accessories,Sunglasses,Le Specs,Yellow,OS,Y,1,1,"",$65.00,$65.00,,""
08/12/2026,18,,,"🆕NWT Cortefiel Houndstooth slacks, Sz 42 (Eur) (US 10)",Women,Pants & Jumpsuits,Ankle & Cropped,Cortefiel,"Black, White",42EU,Y,1,0,"",$41.00,$41.00,,""
08/14/2026,16,,,🆕NWT H&M Black Textured Mini Skirt - Sz  (EU) 44,Women,Skirts,Mini,H&M,Black,44EU,Y,1,0,"",$38.00,$38.00,,""
08/16/2026,14,,,"LIKE NEW adidas Gazelle Black and Gold Floral Suede Sneakers, Sz 7.5",Women,Shoes,Sneakers,adidas,"Black, Gold",7.5,N,1,0,"",$92.00,$92.00,,""
08/17/2026,13,,,Pet Teepee Cooper - Navy,Home,Accents,Decor,,"Blue, White",OS,N,1,1,"",$40.00,$40.00,,""
08/19/2026,11,,,"NWT Zara Suede Moto Jacket, black, sz Large",Women,Jackets & Coats,Leather Jackets,Zara,Black,L,Y,1,1,"",$39.00,$39.00,,$0
08/19/2026,11,,,"NIB Curad Back support dual pulley system, Sz S-M",Home,Other,"",Curad,Black,OS,Y,1,0,"",$24.00,$24.00,,$0
08/23/2026,7,,,"Frye Engineer Boots, Sz 6, brown limited metallic",Women,Shoes,Combat & Moto Boots,Frye,Brown,6,N,1,1,"",$220.00,$220.00,,$1.50
