Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
08/31/2021,1825,,,"🆕wob Lewit Ankle Wrap Heel, Red, Sz 36",Women,Shoes,Heels,Lewit,Red,36EU,N,1,2,"",$85.00,$85.00,,""
11/10/2024,658,,,Frye Jenny convertible fold over Tote - Burnt Red,Women,Bags,Totes,Frye,Red,OS,N,1,10,"",$208.00,$208.00,,$1.50
09/07/2021,1818,,,"🆕Frye Paige Small Crossbody, brown/grey",Women,Bags,Crossbody Bags,Frye,"Gray, Brown",OS,N,1,9,"",$180.00,$180.00,,$1.50
09/09/2021,1816,,,"🆕wob Frye Gates Chukka, brown, 9.5",Men,Shoes,Chukka Boots,Frye,Brown,9.5,N,1,5,"",$97.00,$110.00,,$1.50
09/17/2021,1808,,,"Frye Addie deconstructed hobo, beige",Women,Bags,Hobos,Frye,"White, Cream",OS,N,1,10,"",$250.00,$250.00,,$1.50
09/25/2021,1800,,,"🆕wob Patricia Nash belted Mule, black, Sz 6",Women,Shoes,Mules & Clogs,Patricia Nash,Black,6,N,1,4,"",$78.00,$78.00,,$1.50
03/21/2022,1623,,,"Footpetals Ballet Flats, gold metallic, Sz 6",Women,Shoes,Flats & Loafers,Foot Petals,Gold,6,N,1,1,"",$42.00,$42.00,,$1.50
07/31/2022,1491,,,"🆕Maria Victoria wedge espadrilles, white, Sz 37",Women,Shoes,Espadrilles,Maria Victoria,White,37EU,Y,1,13,"",$110.00,$125.00,,$1.50
07/31/2022,1491,,,"See by Chloe Tony bucket bag, Motty Grey",Women,Bags,Shoulder Bags,See By Chloe,"Gray, Tan",OS,N,1,30,"",$220.00,$220.00,,$1.50
08/05/2022,1486,,,"NWOB Rachel Zoe ankle band sandal, Sz 7, black stud/snakeskin",Women,Shoes,Sandals,Rachel Zoe,"Black, Gray",7.5,N,1,1,"",$50.00,$50.00,,$1.50
08/05/2022,1486,,,"Nwob Mountrek slip on loafer, Sz 9, brown",Men,Shoes,Loafers & Slip-Ons,Mountrek,Brown,9,N,1,2,"",$40.00,$40.00,,$1.50
08/09/2022,1482,,,"🆕WOB Fiorentini + Baker stud sandals, white, Sz 37.5",Women,Shoes,Sandals,Fiorentini + Baker,"White, Brown",37.5EU,Y,1,9,"",$100.00,$100.00,,$1.50
08/09/2022,1482,,,"🆕wob Aquatalia Bifold wallet with ID window, brown",Men,Bags,Wallets,Aquatalia,Brown,OS,N,1,2,"",$110.00,$110.00,,$1.50
08/10/2022,1481,,,Frye Farrah Fringe - Taupe (grey),Women,Bags,Totes,Frye,"Brown, Gray",OS,N,1,37,"",$245.00,$245.00,,$1.50
08/10/2022,1481,,,Frye Farrah Fringe Tote - Taupe (grey),Women,Bags,Totes,Frye,"Gray, Brown",OS,N,1,23,"",$255.00,$255.00,,$1.50
08/11/2022,1480,,,"Frye Izzy Artisan sling, Sz 7, charcoal",Women,Shoes,Heels,Frye,"Gray, Black",7,N,1,0,"",$122.00,$122.00,,$1.50
08/12/2022,1479,,,"🆕wob Mountrek Snow boots, brown, Sz 9",Men,Shoes,Rain & Snow Boots,Mountrek,Brown,9,N,1,2,"",$52.00,$52.00,,$1.50
08/12/2022,1479,,,"🆕 Stella McCartney Loop low top sneaker, white, 38",Women,Shoes,Sneakers,Stella McCartney,White,38EU,Y,1,20,"",$315.00,$330.00,,$1.50
08/12/2022,1479,,,"Steven by Steve Madden Intyce, 7.5, brown",Women,Shoes,Heeled Boots,Steven By Steve Madden,Brown,7.5,N,1,3,"",$45.00,$45.00,,$0
08/13/2022,1478,,,"🆕Vionic Curtis Slip on, brown, Sz 10",Men,Shoes,Loafers & Slip-Ons,Vionic,Brown,10,Y,1,7,"",$105.00,$105.00,,$1.50
08/17/2022,1474,,,"🆕wob Frye Dorado riding pull on, Sz 6, dark brown",Women,Shoes,"",Frye,Brown,6,N,1,3,"",$207.00,$207.00,,$1.50
