"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m87241715093","07/25/2025","","08/05/2025","NWT Merona Flats, lime yellow, sz 11","Completed","California","New York","19.50","0.00","8.29","1.95","0.00","0.00","0.00","9.26","2.12","0.00","0.00","0.70","0.00"
"m94635240760","09/09/2025","","09/13/2025","NWT Womens’ecret Body Suit, Nude, M","Completed","Pennsylvania","New York","22.22","0.00","5.34","2.22","0.00","0.00","0.00","14.66","0.06","0.00","0.00","0.79","0.00"
"m35053026989","09/29/2025","","10/04/2025","Like New Gucci large frame (sun) glasses case, bronze","Completed","Texas","New York","32.50","0.00","5.39","3.25","0.00","0.00","0.00","23.86","2.78","0.00","0.00","1.17","0.00"
"m85189789756","10/06/2025","","10/10/2025","NEW Kaftan from Morocco, red/silver/brown, one size","Completed","Virginia","New York","16.20","0.00","6.99","1.62","0.00","0.00","0.00","7.59","1.01","0.00","0.00","0.58","0.00"
"m89628754712","10/15/2025","","10/16/2025","NWT Oysho lace bra lingerie, black, sz 38b","Completed","New York","New York","14.58","0.00","5.39","1.45","0.00","0.00","0.00","7.74","0.05","0.00","0.00","0.52","0.00"
"m19585271625","10/18/2025","","10/26/2025","NWOB Capezio E series slip on jazz shoes, black, Sz 6","Completed","Florida","New York","25.52","0.00","7.39","2.55","0.00","0.00","0.00","15.58","1.85","0.00","0.00","0.91","0.00"
"m31477692597","04/20/2026","04/22/2026","","NWT Meshki Julianne Contrast Knit top, black/white, Sz Sm","Cancelled","California","New York","45.93","0.00","4.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"m49781197382","05/25/2026","","06/05/2026","NWOB FRYE Deborah Studded Zip wallet, whiskey (brown)","Completed","California","New York","120.00","7.97","0.00","12.79","0.00","0.00","0.00","107.21","12.15","0.00","0.00","4.60","0.00"
"m71262220739","06/14/2026","","06/22/2026","NWT Convertible carry on Garment Bag - 2 in 1 Hanging Suitcase, unisex, gray","Completed","Utah","New York","29.16","7.97","0.00","3.71","0.00","0.00","0.00","25.45","2.27","0.00","0.00","1.33","0.00"
"m89060482794","06/15/2026","","06/24/2026","NWT Abercrombie & Fitch cropped trench jacket, size Large, camel","Completed","Oklahoma","New York","72.00","7.97","0.00","7.99","0.00","0.00","0.00","64.01","3.93","0.00","0.00","2.87","0.00"
"m78707179708","07/30/2026","","08/01/2026","NIB CAKES Body Soft Silicone Bra Inserts - HONEY, OG (B-DD)","Completed","Pennsylvania","New York","18.70","0.00","5.66","1.87","0.00","0.00","0.00","11.17","0.04","0.00","0.00","0.67","0.00"
"m44921049298","08/04/2026","","08/10/2026","Quay Jackpot Olive Green Frame Sunglasses with case","Completed","Illinois","New York","41.00","0.00","5.66","4.10","0.00","0.00","0.00","31.24","4.35","0.00","0.00","1.47","0.00"
"Totals:","","","","","","","","10707.61","367.46","692.53","941.79","169.88","24.24","0.00","7916.79","650.49","4.00","35.95","25.54","15.94"
"Report generated on: 2026-08-30 22:44:39 UTC","","","","","","","","","","","","","","","","","","","",""
